station_number, station_name, measurement_height, latitude, longitude, readings_from, readings_to, elevation
105200,Rämshyttan,2,60.3333,15.2,1961-01-01 00:00:00,1976-04-30 23:59:59,260
105220,Stora Spånsberget A,2,60.3822,15.1404,1995-08-01 00:00:00,2016-10-01 09:00:00,492
105230,Idkerberget,2,60.3758,15.231,1961-01-01 00:00:00,2010-03-31 23:59:59,260
105260,Borlänge Flygplats,2,60.4294,15.5079,1996-01-01 00:00:00,2016-10-01 09:00:00,152
105280,Borlänge Aut,2,60.4889,15.4324,1987-07-01 00:00:00,1999-03-31 23:59:59,140
105310,Borlänge,2,60.502,15.4606,1974-04-01 00:00:00,1978-04-30 23:59:59,120
105360,Gråda Kraftverk,2,60.6046,15.0146,1961-01-01 00:00:00,1982-05-31 23:59:59,155
105370,Falun-Lugnet,2,60.619,15.6603,2006-06-01 00:00:00,2016-09-30 23:59:59,140
105410,Sågmyra,2,60.7004,15.3263,1985-06-01 00:00:00,1988-01-31 23:59:59,257
105450,Leksand,2,60.7256,15.0167,1993-10-02 06:00:00,2016-09-30 23:59:59,175
105550,Backa,2,60.923,15.1145,1988-09-01 00:00:00,1995-09-30 23:59:59,230
105630,Vassbo,2,60.5333,15.5333,1962-01-01 00:00:00,1964-02-29 23:59:59,120
105640,Domnarvet,2,60.5,15.45,1961-08-01 00:00:00,1965-01-31 23:59:59,128
106040,Brovallen,2,60.0991,16.3062,1991-01-01 00:00:00,2016-09-30 23:59:59,100
106060,Sonnbo,2,60.1197,16.2838,1986-10-01 00:00:00,1990-12-31 23:59:59,89
106070,Avesta,2,60.1419,16.1747,1977-01-01 00:00:00,2016-09-30 23:59:59,100
106100,Folkärna,2,60.169,16.3125,1981-04-25 00:00:00,1996-01-31 23:59:59,68
106160,Kerstinbo A,2,60.2688,16.977,1995-08-01 00:00:00,2016-10-01 09:00:00,56
106270,Stjärnsund,2,60.4551,16.2662,1961-01-01 00:00:00,1984-11-30 23:59:59,130
106360,Sandviken,2,60.6103,16.7896,1977-12-01 00:00:00,1987-03-31 23:59:59,65
106500,Vintjärn,2,60.8321,16.0581,1984-05-18 00:00:00,1996-01-31 23:59:59,348
106570,Åmot A,2,60.962,16.4311,1995-08-01 00:00:00,2016-10-01 09:00:00,162
106580,Åmotsbruk,2,60.9645,16.4631,1965-01-01 00:00:00,1996-01-31 23:59:59,145
106630,Gästrike-Hammarby IV,2,60.55,16.5833,1961-01-01 00:00:00,1967-02-28 23:59:59,70
107120,Dannemora,2,60.2026,17.9049,1963-04-01 00:00:00,1981-05-31 23:59:59,41
107130,Films Kyrkby,2,60.2357,17.9072,1982-02-01 00:00:00,2000-05-09 23:59:59,39
107140,Films Kyrkby A,2,60.2363,17.9078,2000-05-01 00:00:00,2016-10-01 09:00:00,33
107180,Väsby,2,60.3,17.4333,1962-01-01 00:00:00,1975-01-31 23:59:59,35
107270,Untra,2,60.4393,17.3409,1965-06-01 00:00:00,1985-06-30 23:59:59,35
107330,Fagerviken,2,60.542,17.7478,1966-12-01 00:00:00,1978-12-31 23:59:59,5
107400,Gävle,2,60.6537,17.1693,1958-01-01 00:00:00,1965-12-31 23:59:59,11
107420,Gävle A,2,60.7166,17.1641,1995-08-01 00:00:00,2016-10-01 09:00:00,16
107440,Eggegrund A,2,60.7304,17.5612,1995-10-01 00:00:00,2016-10-01 09:00:00,5
107450,Utvalnäs Aut,2,60.7547,17.3574,1991-01-01 00:00:00,1995-11-01 23:59:59,5
107530,Västra Banken Aut,2,60.88,17.93,1970-06-01 00:00:00,1970-09-30 18:00:00,5
108100,Singö,2,60.1595,18.7436,1967-09-01 00:00:00,1996-01-31 23:59:59,12
108110,Risinge,2,60.175,18.2272,1962-02-01 00:00:00,2016-08-31 23:59:59,15
108170,Understen,2,60.2761,18.9227,1988-12-01 00:00:00,1992-08-31 23:59:59,12
108300,Grundkallen,2,60.5,18.8666,1965-01-01 00:00:00,1979-11-30 23:59:59,23
108320,Örskär A,2,60.5262,18.3766,1995-11-21 00:00:00,2016-10-01 09:00:00,8
108640,Öregrund,2,60.3333,18.4333,1949-07-01 00:00:00,1967-08-31 23:59:59,7
112080,Rörbäcksnäs,2,61.1269,12.8226,1968-02-01 00:00:00,1970-03-31 23:59:59,455
112170,Grundforsen,2,61.2797,12.8568,1961-01-01 00:00:00,2013-05-29 18:00:00,412
112510,Flötningen,2,61.8526,12.2689,1969-12-01 00:00:00,1986-02-28 23:59:59,670
112530,Idre-Storbo V,2,61.8691,12.3024,1996-04-01 00:00:00,1997-04-30 23:59:59,660
112540,Idre Fjäll A,2,61.8892,12.8542,1995-11-01 00:00:00,2016-10-01 09:00:00,869
113070,Sälen-Högfjället V,2,61.15829,13.11383,1996-03-01 00:00:00,2016-10-01 09:00:00,751
113100,Sälen,2,61.1691,13.2593,1969-01-01 00:00:00,2009-03-31 23:59:59,360
113110,Tandådalen Aut,2,61.1766,13.0164,1985-05-01 00:00:00,1998-02-20 23:59:59,830
113410,Särna,2,61.6912,13.1589,1957-04-06 00:00:00,1973-10-31 23:59:59,441
113420,Särna A,2,61.6912,13.1865,2000-11-01 00:00:00,2016-10-01 09:00:00,425
113610,Storfjället-Sälen,2,61.1666,13.1166,1966-01-01 00:00:00,1967-05-31 23:59:59,770
114010,Mora,2,61.0025,14.5874,1975-09-01 00:00:00,1977-03-09 23:59:59,190
114140,Älvdalen A,2,61.2542,14.0383,1995-08-01 00:00:00,2016-10-01 09:00:00,252
114160,Älvdalen II,2,61.2555,14.0375,1996-01-26 06:00:00,1996-06-30 23:59:59,250
114270,Kvarnberg,2,61.4446,14.8744,1965-01-01 00:00:00,1973-01-31 23:59:59,434
114330,Kräckelbäcken,2,61.55,14.2,1968-10-01 00:00:00,1977-11-30 23:59:59,670
114360,Ulvsjö,2,61.6022,14.1847,1978-01-01 00:00:00,2016-09-30 23:59:59,585
114390,Lillhamra,2,61.6408,14.8015,1962-02-01 00:00:00,1962-02-28 23:59:59,424
114400,Hamra,2,61.6577,14.9943,1973-03-01 00:00:00,1995-11-30 23:59:59,440
114410,Hamra A,2,61.6606,14.9948,1995-12-15 00:00:00,2016-10-01 09:00:00,454
114510,Lillhärdal,2,61.8547,14.0921,2008-02-01 00:00:00,2016-09-30 23:59:59,440
114630,Noppikoski,2,61.5,14.85,1965-01-01 00:00:00,1967-09-30 23:59:59,340
115040,Dalstuga,2,61.0666,15.7,1970-10-01 00:00:00,1977-08-31 23:59:59,240
115050,Svabensverk,2,61.0442,15.7921,1977-10-01 00:00:00,1978-08-31 23:59:59,240
115220,Edsbyn A,2,61.3613,15.7175,1996-01-01 00:00:00,2016-10-01 09:00:00,184
115230,Edsbyn,2,61.3784,15.8352,1951-01-01 00:00:00,1974-01-31 23:59:59,189
116230,Röstebo,2,61.3882,16.4295,1995-07-01 00:00:00,2012-09-30 23:59:59,115
116240,Dönje,2,61.395,16.4145,1969-03-01 00:00:00,1995-06-30 23:59:59,85
116430,Järvsö,2,61.7111,16.1667,2013-10-01 00:00:00,2016-09-30 23:59:59,140
116480,Delsbo,2,61.7854,16.5505,1967-01-01 00:00:00,1995-11-30 23:59:59,88
116490,Delsbo A,2,61.8271,16.5418,1995-12-01 00:00:00,2016-10-01 09:00:00,70
116500,Ljusdal,2,61.8333,16.1333,1962-01-01 00:00:00,1975-12-31 23:59:59,140
116650,Bjuråker,2,61.85,16.5833,1949-01-01 00:00:00,1966-12-31 23:59:59,66
117160,Söderhamn A,2,61.2691,17.0983,2001-09-01 00:00:00,2012-01-03 23:59:59,26
117170,Söderhamn,2,61.3198,17.0967,1999-05-01 00:00:00,2004-03-31 23:59:59,10
117330,Agö,2,61.55,17.4666,1949-01-01 00:00:00,1973-10-31 23:59:59,20
117370,Hölick,2,61.6239,17.4401,1987-06-01 00:00:00,1995-10-31 23:59:59,5
117420,Kuggören,2,61.7027,17.5225,1970-07-01 00:00:00,1987-05-31 23:59:59,2
117430,Kuggören A,2,61.7033,17.525,1995-12-15 00:00:00,2016-10-01 09:00:00,8
117440,Hudiksvall,2,61.7167,17.086,1993-04-26 00:00:00,1996-06-30 23:59:59,10
117610,Storjungfrun,2,61.1666,17.3333,1961-01-01 00:00:00,1964-07-31 23:59:59,10
118610,Finngrundets Fyrskepp,2,61.0666,18.6833,1961-01-01 00:00:00,1969-06-30 23:59:59,5
122260,Tännäs A,2,62.4502,12.6702,1995-11-21 00:00:00,2016-10-01 09:00:00,723
122330,Ljusnedal,2,62.5493,12.6043,1961-01-01 00:00:00,2016-09-30 23:59:59,585
122360,Fjällnäs,2,62.5772,12.2223,1969-07-09 00:00:00,1996-01-31 23:59:59,780
122430,Flatruet V,2,62.72909,12.7264,1996-03-01 00:00:00,2016-10-01 09:00:00,932
122610,Grövelsjön,2,62.0991,12.3153,1966-07-01 00:00:00,1969-04-30 23:59:59,815
123060,Dravagen A,2,62.0943,13.6115,1995-10-26 00:00:00,2016-10-01 09:00:00,566
123070,Lofsdalen,2,62.1132,13.2841,1984-10-01 00:00:00,1995-09-30 23:59:59,610
123250,Hede,2,62.4172,13.5168,1961-01-01 00:00:00,1991-06-30 23:59:59,420
123340,Hedeviken,2,62.4112,13.6748,2008-10-01 00:00:00,2016-09-30 23:59:59,410
123460,Börtnan A,2,62.7557,13.8456,1995-12-15 00:00:00,2016-10-01 09:00:00,467
123480,Storsjö Kapell,2,62.8016,13.0731,1955-01-01 00:00:00,1996-01-31 23:59:59,580
124020,Sveg,2,62.0291,14.3508,1951-01-01 00:00:00,1997-12-31 23:59:59,360
124030,Sveg A,2,62.0471,14.41,2009-10-01 00:00:00,2016-10-01 10:00:00,362
124110,Ytterhogdal,2,62.1809,14.9524,1975-06-01 00:00:00,1992-08-31 23:59:59,260
124300,Klövsjöhöjden A,2,62.4961,14.1571,1996-01-01 00:00:00,2016-10-01 10:00:00,802
124320,Klövsjö,2,62.5335,14.2028,1977-10-01 00:00:00,1995-12-31 23:59:59,549
124390,Skålan,2,62.65,14.1666,1962-12-01 00:00:00,1976-12-31 23:59:59,452
125020,Finneby,2,62.0424,15.4655,1976-12-01 00:00:00,1996-01-31 23:59:59,259
125170,Norrberg-Norrhög V,2,62.26317,15.67093,1996-03-01 00:00:00,2016-10-01 10:00:00,327
125440,Hunge A,2,62.7512,15.0876,1995-10-06 00:00:00,2016-10-01 10:00:00,343
125450,Hunge,2,62.7503,15.0984,1965-01-01 00:00:00,1996-09-30 23:59:59,342
125490,Gustavsnäs D,2,62.8108,15.9333,2013-09-01 00:00:00,2013-09-30 23:59:59,300
126290,Torpshammar A,2,62.4943,16.2774,1996-01-01 00:00:00,2016-10-01 10:00:00,99
126300,Fränsta 11,2,62.5165,16.2084,1962-09-01 00:00:00,1995-12-31 23:59:59,110
126440,Sillre V,2,62.76291,16.7387,1996-03-01 00:00:00,2016-10-01 10:00:00,210
126460,Ljungå,2,62.7594,16.3141,1961-01-01 00:00:00,1987-01-31 23:59:59,220
126480,Järkvissle,2,62.8166,16.6833,1971-11-01 00:00:00,1972-05-31 23:59:59,90
126630,Fränsta,2,62.5,16.1833,1962-01-01 00:00:00,1963-12-31 23:59:59,110
127130,Brämön A,2,62.2207,17.7426,1995-10-01 00:00:00,2016-10-01 10:00:00,17
127140,Lörudden,2,62.2314,17.6623,1967-12-01 00:00:00,1986-01-31 23:59:59,2
127220,Sidsjö D,2,62.3809,17.2854,1961-01-01 00:00:00,2007-07-31 23:59:59,60
127230,Sundsvall-Råsta V,2,62.43064,17.3447,1996-03-01 00:00:00,2016-10-01 10:00:00,83
127240,Sundsvall,2,62.4066,17.2664,1970-08-01 00:00:00,1981-06-30 23:59:59,35
127310,Sundsvalls Flygplats,2,62.5246,17.441,1955-12-01 00:00:00,2016-10-01 10:00:00,4
127380,Härnösand,2,62.628,17.9471,1949-01-01 00:00:00,2016-09-30 23:59:59,8
127600,Gran,2,62.0166,17.6333,1951-01-01 00:00:00,1967-10-31 23:59:59,20
127620,Brämö,2,62.1299,17.4498,1967-11-11 00:00:00,1970-12-31 23:59:59,17
127630,Söråker,2,62.5166,17.5166,1962-07-01 00:00:00,1964-12-31 23:59:59,45
128370,Härnö,2,62.6183,18.0618,1970-10-01 00:00:00,1989-12-31 23:59:59,10
128390,Lungö A,2,62.6431,18.0929,1990-02-12 00:00:00,1995-08-15 23:59:59,6
128510,Nordvik,2,62.8485,18.0159,1961-01-01 00:00:00,1987-06-30 23:59:59,20
128590,Ullånger,2,62.9948,18.1794,1961-01-01 00:00:00,1998-01-31 23:59:59,45
132030,Sylarna A,2,63.0447,12.2775,1995-11-20 15:00:00,2016-10-01 10:00:00,1030
132110,Blåhammaren A,2,63.1864,12.1761,2010-10-01 00:00:00,2016-10-01 10:00:00,1090
132170,Storlien-Storvallen A,2,63.2831,12.1246,2009-11-01 00:00:00,2016-10-01 10:00:00,583
132180,Storlien-Visjövalen,2,63.3028,12.1253,1962-10-01 00:00:00,2011-09-30 23:59:59,642
132240,Duved,2,63.4,12.9333,1961-01-01 00:00:00,1979-12-31 23:59:59,385
132590,Edevik,2,63.9812,12.8709,1980-07-01 00:00:00,2016-08-31 23:59:59,425
132620,Storlien,2,63.3158,12.1009,1951-01-01 00:00:00,1964-06-30 23:59:59,595
133030,Bydalen V,2,63.044,13.8907,1996-03-01 00:00:00,1998-05-31 23:59:59,1000
133050,Höglekardalen,2,63.0796,13.7529,1962-02-01 00:00:00,2016-09-30 23:59:59,592
133160,Trillevallen V,2,63.2631,13.2166,1998-10-01 00:00:00,2001-04-17 18:00:00,611
133180,Mattmar V,2,63.30543,13.87671,1996-03-01 00:00:00,2016-10-01 10:00:00,360
133190,Mörsil,2,63.3193,13.6488,1971-07-01 00:00:00,2016-08-31 23:59:59,400
133200,Undersåker,2,63.3269,13.3826,1967-05-01 00:00:00,1983-05-31 23:59:59,330
133230,Åre,2,63.4,13.1,1961-01-01 00:00:00,1971-01-31 23:59:59,440
133250,Åre-Björnänge V,2,63.37375,13.16067,2001-04-17 00:00:00,2016-10-01 10:00:00,403
133260,Åreskutan Aut,2,63.4304,13.0746,1982-01-01 00:00:00,1998-01-21 23:59:59,1280
133470,Överäng,2,63.7788,13.0734,1966-12-01 00:00:00,2006-02-28 23:59:59,450
133500,Korsvattnet A,2,63.8395,13.5037,1996-02-01 00:00:00,2016-10-01 10:00:00,717
133570,Stora Stensjön Aut,2,63.9687,13.7251,1981-08-01 00:00:00,1996-01-31 23:59:59,680
133630,Mo,2,63.3166,13.4833,1961-01-01 00:00:00,1967-03-31 23:59:59,330
134090,Norderön,2,63.1618,14.3692,2006-12-01 00:00:00,2016-09-30 23:59:59,320
134100,Östersund,2,63.1736,14.6786,1967-05-01 00:00:00,1980-06-30 23:59:59,345
134110,Frösön,2,63.1974,14.4863,1970-01-19 00:00:00,2016-10-01 10:00:00,376
134130,Frösön D,2,63.1947,14.4898,2002-11-01 00:00:00,2006-06-30 23:59:59,375
134150,Rösta,2,63.2443,14.5535,1961-01-01 00:00:00,2011-12-31 23:59:59,360
134410,Föllinge A,2,63.677,14.6079,1995-12-01 00:00:00,2016-10-01 10:00:00,362
134460,Föllinge-Vägskälet,2,63.7606,14.4323,1980-02-01 00:00:00,1995-11-30 23:59:59,475
134520,Ålåsen,2,63.8683,14.6063,1965-01-01 00:00:00,1979-12-31 23:59:59,450
134590,Almdalen,2,63.9967,14.6701,1972-07-01 00:00:00,2016-08-31 23:59:59,615
135380,Sikåskälen,2,63.6198,15.0929,1961-01-01 00:00:00,1984-06-30 23:59:59,490
135440,Hallviken,2,63.73,15.5,1951-01-01 00:00:00,1978-11-30 23:59:59,337
135460,Hallhåxåsen A,2,63.7695,15.331,1995-12-01 00:00:00,2016-10-01 10:00:00,375
135520,Strömsund,2,63.8548,15.5894,1979-01-01 00:00:00,1995-11-30 23:59:59,373
135640,Gisselås,2,63.7,15.3666,1965-01-01 00:00:00,1965-07-31 23:59:59,320
136010,Bispgården,2,63.0335,16.5536,1961-01-01 00:00:00,1978-01-31 23:59:59,165
136020,Bispgården,2,63.0509,16.5358,1984-11-01 00:00:00,1988-06-30 23:59:59,190
136090,Krångede A,2,63.1521,16.1733,1995-11-21 00:00:00,2016-10-01 10:00:00,183
136360,Storfinnforsen,2,63.595,16.1846,1961-01-01 00:00:00,2016-08-31 23:59:59,232
136410,Junsele A,2,63.6849,16.9531,2008-01-01 00:00:00,2016-10-01 10:00:00,214
136420,Junsele,2,63.6968,16.8723,1963-01-01 00:00:00,1964-09-10 23:59:59,210
136610,Bölestrand,2,63.1333,16.15,1955-01-01 00:00:00,1965-03-31 23:59:59,220
137030,Viksbäcken,2,63.05,17.75,1951-10-01 00:00:00,1976-04-30 23:59:59,6
137040,Kramfors-Gistgårdsön,2,63.0502,17.7658,1976-09-01 00:00:00,1996-04-30 23:59:59,5
137080,Forse,2,63.1466,17.0262,1996-11-01 00:00:00,2016-09-30 23:59:59,120
137100,Sollefteå,2,63.1667,17.2802,1971-01-01 00:00:00,1986-06-30 23:59:59,20
137110,Lännäs,2,63.16629,17.65431,2015-06-01 06:00:00,2016-09-30 23:59:59,30
137560,Tegelträsk,2,63.9515,17.904,1961-01-01 00:00:00,1985-08-31 23:59:59,380
138070,Västmarkum A,2,63.1251,18.2555,1995-12-15 00:00:00,2016-10-01 10:00:00,141
138240,Örnsköldsviks Flygplats,2,63.4119,18.9797,2008-01-01 00:00:00,2016-10-01 10:00:00,108
138270,Bredbyn,2,63.4608,18.0592,1983-05-01 00:00:00,1995-09-30 23:59:59,85
138390,Hemling A,2,63.6513,18.5502,1995-12-15 00:00:00,2016-10-01 10:00:00,182
138400,Hemling,2,63.6574,18.5318,1970-07-01 00:00:00,2011-07-31 23:59:59,190
139110,Skagsudde,2,63.1885,19.0194,1965-01-01 00:00:00,1995-10-31 23:59:59,13
139120,Skagsudde A,2,63.1886,19.0202,1995-11-01 00:00:00,2016-10-01 10:00:00,11
139200,Kasa D,2,63.3266,19.0532,1961-01-01 00:00:00,1986-06-30 23:59:59,30
139260,Järnäsklubb A,2,63.4359,19.6768,1995-12-15 00:00:00,2016-10-01 10:00:00,6
139340,Nordmaling,2,63.5739,19.4875,1982-09-13 00:00:00,1987-03-31 23:59:59,4
139540,Vännäs,2,63.9187,19.6986,1951-01-01 00:00:00,1976-08-31 23:59:59,87
139570,Balsjö,2,63.925,19.0611,1945-01-01 00:00:00,1948-06-30 23:59:59,195
140200,Sydostbrotten Aut,2,63.3806,20.0993,1981-02-01 00:00:00,1993-06-10 23:59:59,24
140360,Holmögadd A,2,63.5949,20.7565,1951-01-01 00:00:00,2008-01-11 18:00:00,6
140460,Holmön A,2,63.8082,20.8692,2005-05-01 00:00:00,2016-10-01 10:00:00,6
140480,Umeå Flygplats,2,63.7947,20.2918,1962-01-01 00:00:00,1964-12-31 23:59:59,7
140490,Röbäcksdalen,2,63.8129,20.2397,1962-01-01 00:00:00,1987-06-30 23:59:59,10
140500,Umeå,2,63.8302,20.2901,1962-09-01 00:00:00,1979-09-30 23:59:59,10
142030,Björkede,2,64.0432,12.9414,1965-01-01 00:00:00,1980-05-31 23:59:59,451
143440,Jormlien,2,64.7306,13.986,1980-11-01 00:00:00,2016-08-31 23:59:59,360
144160,Munsvattnet,2,64.2734,14.451,1961-01-01 00:00:00,1997-04-30 23:59:59,520
144300,Gäddede,2,64.5059,14.1465,1976-05-22 00:00:00,1982-02-28 23:59:59,318
144310,Gäddede A,2,64.5057,14.2238,2008-01-01 00:00:00,2016-10-01 10:00:00,550
144650,Ankarvattnet,2,64.8666,14.25,1965-01-01 00:00:00,1966-01-31 23:59:59,460
145130,Gubbhögen A,2,64.2182,15.5561,1995-12-15 00:00:00,2016-10-01 10:00:00,310
145260,Norråker,2,64.4309,15.6332,1975-08-01 00:00:00,1995-11-30 23:59:59,344
145280,Korsselbränna,2,64.4571,15.5423,1961-01-01 00:00:00,1975-12-31 23:59:59,178
145340,Högland,2,64.5666,15.9166,1951-01-01 00:00:00,1975-06-30 23:59:59,401
145450,Brännåkersfjället V,2,64.7507,15.8307,1996-04-01 00:00:00,1997-03-31 23:59:59,630
145580,Saxnäs V,2,64.96782,15.37907,1998-10-01 00:00:00,2016-10-01 10:00:00,542
146050,Hoting A,2,64.0885,16.2388,1996-02-01 00:00:00,2016-10-01 10:00:00,241
146070,Hoting,2,64.1236,16.2149,1969-12-01 00:00:00,1997-09-30 23:59:59,240
146350,Vilhelmina A,2,64.5809,16.8421,1995-10-01 00:00:00,2016-10-01 10:00:00,348
146380,Laxbäcken,2,64.6389,16.4142,1961-01-01 00:00:00,2016-08-31 23:59:59,345
147090,Åsele A,2,64.1661,17.3188,1995-12-15 00:00:00,2016-10-01 10:00:00,307
147100,Åsele,2,64.159,17.3494,1992-01-01 00:00:00,2016-08-31 23:59:59,310
147270,Idvattnet,2,64.4542,17.0794,1982-10-01 00:00:00,1996-01-31 23:59:59,352
147420,Risträsk V,2,64.73431,17.40337,1996-03-01 00:00:00,2016-10-01 10:00:00,598
147460,Ulvoberg,2,64.7627,17.2165,1961-01-01 00:00:00,2005-01-31 23:59:59,520
147560,Gunnarn A,2,65.0106,17.7034,2008-11-01 00:00:00,2016-10-01 10:00:00,251
147570,Gunnarn,2,65.0074,17.7085,2003-08-01 00:00:00,2013-04-13 05:59:59,280
148040,Fredrika A,2,64.0753,18.3656,1996-01-01 00:00:00,2016-10-01 10:00:00,327
148050,Fredrika,2,64.0763,18.419,1980-07-01 00:00:00,1995-12-31 23:59:59,300
148300,Kroksjö,2,64.503,17.9972,1969-09-01 00:00:00,1989-01-31 23:59:59,520
148330,Lycksele A,2,64.5492,18.7169,1995-12-15 00:00:00,2016-10-01 10:00:00,210
148350,Lycksele,2,64.5871,18.6587,1962-02-01 00:00:00,1995-10-31 23:59:59,234
149120,Vindeln-Sunnansjönäs,2,64.1973,19.7243,1989-03-01 00:00:00,2000-05-09 23:59:59,177
149160,Hällnäs-Lund,2,64.2684,19.6314,1951-03-01 00:00:00,1989-02-28 23:59:59,181
149340,Petisträsk A,2,64.5669,19.6983,1995-12-15 00:00:00,2016-10-01 10:00:00,258
149540,Norsjö,2,64.9093,19.4746,1996-03-01 00:00:00,2016-08-31 23:59:59,296
149560,Norsjö A,2,64.9263,19.3782,1995-11-01 00:00:00,2016-10-01 10:00:00,309
149570,Storliden,2,64.95,19.4833,1965-01-01 00:00:00,1973-07-31 23:59:59,390
149610,Kulbäcksliden,2,64.2,19.5666,1961-01-01 00:00:00,1967-12-31 23:59:59,200
150270,Västanträsk,2,64.4502,20.4055,1970-07-01 00:00:00,2008-08-31 23:59:59,140
150450,Skellefteå,2,64.7584,20.9478,1971-10-04 00:00:00,1979-10-31 23:59:59,40
150640,Klutmark,2,64.75,20.6333,1950-09-01 00:00:00,1966-06-30 23:59:59,80
151220,Lövånger,2,64.3636,21.3152,1962-01-01 00:00:00,2004-12-31 23:59:59,21
151240,Hökmarksberget V,2,64.43583,21.27997,1996-03-01 00:00:00,2016-10-01 10:00:00,92
151280,Bjuröklubb A,2,64.4812,21.5791,1995-12-15 00:00:00,2016-10-01 10:00:00,40
151290,Bjuröklubb,2,64.4806,21.5787,1949-01-01 00:00:00,1997-12-31 23:59:59,36
151380,Skellefteå Flygplats,2,64.6244,21.0717,1962-01-01 00:00:00,1992-03-31 23:59:59,46
151550,Furuögrund,2,64.9112,21.2263,1969-11-01 00:00:00,1983-08-31 23:59:59,10
151640,Ursviken,2,64.7166,21.15,1961-01-01 00:00:00,1967-06-30 23:59:59,5
154720,Klimpfjäll,2,65.062,14.7908,1981-05-01 00:00:00,1984-11-30 23:59:59,588
154730,Stekenjokk A,2,65.0942,14.5085,1995-10-26 00:00:00,2016-10-01 10:00:00,1036
154860,Abelvattnet Aut,2,65.53,14.97,1985-05-01 00:00:00,1996-08-31 23:59:59,665
155680,Kittelfjäll,2,65.25,15.5,1965-06-01 00:00:00,1966-04-30 23:59:59,560
155710,Blaikliden,2,65.0464,15.7486,1980-09-01 00:00:00,2000-06-30 23:59:59,520
155720,Marsliden,2,65.0251,15.3668,2000-11-01 00:00:00,2013-11-30 23:59:59,550
155790,Gielas A,2,65.328,15.0686,1996-10-01 00:00:00,2016-10-01 11:00:00,577
155900,Boksjö,2,65.6772,15.8245,1969-08-01 00:00:00,2015-02-28 23:59:59,475
155910,Tärnaby,2,65.7166,15.25,1949-01-01 00:00:00,1972-12-31 23:59:59,450
155940,Hemavan,2,65.7968,15.1045,1991-10-01 00:00:00,2008-07-08 23:59:59,475
155960,Hemavan-Giertevarto A,2,65.7832,15.0645,1995-11-20 13:00:00,2016-10-01 11:00:00,793
155970,Hemavan Flygplats,2,65.8077,15.0854,2008-01-01 00:00:00,2016-10-01 11:00:00,458
156730,Långvattnet,2,65.1049,16.6919,1961-01-01 00:00:00,1999-01-31 23:59:59,420
156770,Dikanäs,2,65.2365,15.9883,1966-09-01 00:00:00,1980-12-31 23:59:59,485
156790,Dikanäs Skansnäs,2,65.3235,16.0353,1983-08-01 00:00:00,2000-03-13 23:59:59,525
156850,Danasjö,2,65.5374,16.5393,1978-07-01 00:00:00,2002-07-31 23:59:59,652
156940,Vindel-Björkheden,2,65.8211,16.7114,1977-10-01 00:00:00,1996-01-31 23:59:59,350
156990,Ammarnäs,2,65.9744,16.2283,1991-11-01 00:00:00,2000-08-31 23:59:59,440
157720,Stensele,2,65.0706,17.1536,1983-09-20 00:00:00,2004-12-31 23:59:59,325
157860,Sorsele,2,65.5354,17.5225,1997-10-14 00:00:00,2016-09-30 23:59:59,360
157870,Buresjön A,2,65.5592,17.86,1995-10-26 00:00:00,2016-10-01 11:00:00,393
157930,Vindel-Storsjö,2,65.7666,17.05,1965-01-01 00:00:00,1977-08-31 23:59:59,345
