station_number, date, time, air_temperature, quality
137040,1979-12-01,06:00:00,-1.7,G
89560,2005-12-07,04:00:00,4.5,Y
170930,2008-02-07,01:00:00,-5.7,Y
62250,2007-09-03,14:00:00,13.7,Y
78400,1982-02-01,04:00:00,-5,Y
71430,1967-09-08,00:00:00,9.3,G
132180,1990-08-15,15:00:00,16,G
108320,2008-01-15,01:00:00,3.8,Y
78240,1975-09-04,12:00:00,20.1,G
76160,1984-01-31,06:00:00,0.4,G
162790,2002-06-05,12:00:00,14.3,G
133180,2002-07-19,04:00:00,13.5,Y
188790,1986-11-22,22:00:00,-7.8,Y
53180,1999-11-26,11:00:00,7.3,Y
74180,2002-12-30,10:00:00,-8.6,Y
92130,2011-06-04,23:00:00,14.9,G
144300,1978-09-18,03:00:00,6.7,G
53530,2004-08-25,12:00:00,18.9,G
87440,2013-10-28,04:00:00,10.9,G
83540,1972-10-16,12:00:00,11.8,G
92100,2007-11-23,18:00:00,-1.9,G
162790,2011-04-07,13:00:00,-0.7,G
96350,1988-11-21,22:00:00,-7.2,Y
127130,1996-02-15,18:00:00,0.4,G
133180,2000-08-07,21:00:00,8.6,G
188810,1992-06-19,12:00:00,8.9,G
98400,1961-02-21,12:00:00,9.3,G
166870,1991-02-05,00:00:00,-26.3,G
150640,1961-12-02,03:00:00,-11.2,Y
167710,2011-07-25,15:00:00,16.1,G
161780,1976-11-16,15:00:00,-0.5,G
82000,1974-11-02,06:00:00,4.2,G
158850,1976-03-29,18:00:00,-2,G
191910,1996-05-05,16:00:00,-0.9,Y
84340,2011-10-30,07:00:00,9.2,G
126290,1999-12-27,17:00:00,-0.3,Y
65450,1976-02-13,06:00:00,-0.8,G
151640,1963-11-10,12:00:00,-1.2,G
161910,1998-06-21,05:00:00,9.8,Y
83420,2010-12-06,05:00:00,-1.4,G
167730,1978-07-18,18:00:00,6.5,G
99090,1986-06-27,03:00:00,18.9,G
74180,2013-11-02,18:00:00,2.6,G
63600,1987-12-30,09:00:00,7,G
166910,2016-01-17,01:00:00,-9.3,G
86370,1955-02-14,12:00:00,-6.4,Y
86470,1988-07-11,12:00:00,21.6,G
136420,2000-07-19,21:00:00,14,G
114410,2005-05-15,10:00:00,6.7,Y
127130,1996-09-23,13:00:00,12.5,Y
173900,2013-06-30,03:00:00,16.1,G
146380,1976-12-05,18:00:00,-0.6,G
127230,2011-03-02,06:00:00,0.5,G
162790,2001-01-26,06:00:00,-0.7,G
99450,1969-08-09,15:00:00,19,Y
73570,1986-03-21,06:00:00,1.6,G
172790,1964-10-11,03:00:00,3.4,Y
149540,1987-07-14,03:00:00,10,G
161940,1965-10-18,15:00:00,0.8,Y
74180,2010-12-10,01:00:00,-6.3,G
105230,1995-02-15,12:00:00,1,G
98400,1968-01-15,06:00:00,-2,G
135460,2003-02-12,14:00:00,1.1,Y
151280,2006-06-08,21:00:00,12.8,G
74460,1979-08-24,00:00:00,4,G
127310,2012-09-25,01:00:00,6.3,G
66110,1998-07-26,06:00:00,13.8,G
107400,1986-12-25,03:00:00,-7.4,G
145260,1988-01-26,12:00:00,-4.6,G
95130,2004-05-04,14:00:00,12.5,Y
97530,1977-07-16,11:00:00,12.4,Y
124300,2007-03-04,01:00:00,-4.3,Y
106570,2007-05-29,15:00:00,9.9,G
127310,1984-09-13,05:00:00,10.1,Y
98040,1976-04-28,03:00:00,-1,G
102540,1977-03-31,06:00:00,-0.6,G
106160,2002-10-03,10:00:00,8.8,Y
73570,1983-10-13,00:00:00,7.2,G
191910,2009-03-15,11:00:00,-2.4,Y
157870,2014-04-04,02:00:00,-13.8,G
83040,1999-03-15,17:00:00,0.1,Y
97200,1981-03-05,23:00:00,-6.6,Y
163900,2000-06-03,05:00:00,9.6,Y
65510,1997-09-03,17:00:00,17.6,Y
138070,2013-06-16,09:00:00,15.9,G
71420,2015-03-10,00:00:00,6.1,G
91370,1998-12-18,12:00:00,4.2,G
54550,1987-06-16,07:00:00,9.8,Y
160970,1998-11-29,02:00:00,-3.9,Y
84310,1993-03-12,20:00:00,-3.4,Y
107440,1965-04-22,21:00:00,3,Y
107420,2001-11-23,13:00:00,0.1,Y
78550,2009-09-23,03:00:00,15.1,G
95500,1969-07-28,18:00:00,23,G
169880,1999-07-20,06:00:00,14,G
171790,2005-05-13,15:00:00,9.8,G
162800,1991-06-08,15:00:00,15.2,G
74460,2014-01-20,19:00:00,-5.8,G
133050,2006-01-30,06:00:00,2.1,G
191910,2011-05-21,04:00:00,2.6,G
134110,1987-12-14,08:00:00,-5,Y
116480,1987-08-03,18:00:00,14,G
135460,2008-06-20,09:00:00,15.3,G
147420,1998-11-01,10:00:00,-5.6,Y
128390,2013-11-15,01:00:00,2.5,G
82230,2000-04-30,06:00:00,13.5,G
144300,2007-12-16,18:00:00,1.9,G
87440,2003-02-08,13:00:00,-1.8,Y
53530,2012-09-12,14:00:00,16.2,G
65160,1987-06-11,19:00:00,13.4,Y
82090,2004-11-30,23:00:00,6,Y
148330,2006-07-30,17:00:00,21.4,Y
104580,2003-03-06,05:00:00,-2.7,Y
97530,1989-10-03,01:00:00,3.6,Y
133160,1998-10-23,08:00:00,7.5,Y
66400,2010-04-11,20:00:00,1.1,Y
62190,1954-11-10,00:00:00,6.2,G
160970,2006-03-22,23:00:00,-19.3,Y
92410,2012-07-23,02:00:00,13.6,G
161710,1990-02-09,13:00:00,0.3,Y
108110,1975-06-06,06:00:00,11.8,G
54230,1986-03-18,12:00:00,3.3,G
147420,2007-11-17,00:00:00,-5.4,G
97270,1984-04-19,18:00:00,5.6,G
83230,1965-10-23,18:00:00,4.9,G
166910,2011-06-21,08:00:00,8.7,G
163950,1963-09-18,21:00:00,6,Y
63050,1977-05-30,13:00:00,11,Y
94390,2008-08-11,17:00:00,16,Y
62040,2002-06-23,00:00:00,16.3,G
81060,1970-11-03,06:00:00,3,G
147420,2004-07-03,01:00:00,10.2,Y
62190,1966-05-29,21:00:00,10,Y
63050,1997-07-22,20:00:00,16,Y
132170,2012-12-03,04:00:00,-18.8,G
189720,1998-08-17,17:00:00,7.7,Y
65450,2000-05-18,12:00:00,17.6,G
62180,1968-02-21,13:00:00,-2.2,Y
99450,2000-03-25,01:00:00,0.9,Y
183750,2009-07-02,04:00:00,11.2,Y
82260,1985-03-03,07:00:00,-1.9,Y
183750,2014-02-16,10:00:00,-2.2,G
107420,2008-09-18,04:00:00,6.2,Y
173900,2008-07-24,02:00:00,9.8,Y
166940,2009-01-27,11:00:00,-7,Y
74460,1977-03-29,05:00:00,-13,Y
97530,1953-06-21,06:00:00,15.5,Y
114360,1981-11-25,18:00:00,-9.4,G
52230,1970-07-04,12:00:00,15.8,G
104580,2002-03-06,12:00:00,0.3,G
115220,2006-01-31,20:00:00,7,Y
96350,1973-12-30,04:00:00,5.6,Y
148330,2012-10-28,00:00:00,-12.4,G
84050,2014-07-01,19:00:00,14.5,G
82350,2007-05-28,02:00:00,12.1,Y
74300,2003-01-16,11:00:00,2.9,Y
84520,1999-04-20,04:00:00,1.2,Y
183760,1991-05-09,09:00:00,0.8,G
54550,1977-02-14,10:00:00,1,Y
124020,2001-10-24,00:00:00,-5.1,G
97110,1982-01-12,22:00:00,-16.8,Y
71380,1961-08-17,15:00:00,17,Y
127130,2000-12-27,10:00:00,-2.7,Y
81540,2004-05-02,14:00:00,12.7,Y
98040,1963-10-05,06:00:00,7.6,Y
112540,2000-02-07,19:00:00,-1,Y
85240,1991-12-08,01:00:00,0.9,Y
137110,2010-08-03,12:00:00,21.1,G
115220,2001-03-10,23:00:00,0.9,Y
53300,2011-12-11,06:00:00,4.5,G
169880,1973-08-11,06:00:00,10.6,G
149540,1990-11-27,12:00:00,-7.2,G
135460,2015-08-25,12:00:00,19.8,G
112080,1968-09-25,06:00:00,0,G
116480,1968-04-17,12:00:00,13,G
97280,2008-03-12,17:00:00,4.4,Y
62180,1969-05-05,16:00:00,8.6,Y
97530,1971-04-02,11:00:00,8.3,Y
117160,1979-11-22,22:00:00,0.7,Y
81370,2012-02-18,02:00:00,1.7,G
93520,2016-06-08,08:00:00,11.8,G
53260,1979-10-30,03:00:00,3,G
167980,1951-09-05,12:00:00,17,Y
145130,2011-02-26,06:00:00,-7,G
163900,2006-07-16,08:00:00,14.6,Y
84050,2002-04-12,22:00:00,6,Y
159880,1996-12-27,17:00:00,-6.3,Y
162860,1983-02-13,21:00:00,-17.6,G
126440,2014-06-03,04:00:00,6.4,G
78280,2010-07-25,12:00:00,19.4,G
103100,2012-12-05,13:00:00,-9.6,G
92410,1997-02-26,01:00:00,2.1,Y
98040,1970-05-13,22:00:00,6.6,Y
113410,1999-03-04,12:00:00,-5.6,G
87150,1991-11-11,15:00:00,4.4,G
62180,1965-05-28,00:00:00,7.6,Y
113070,2005-09-23,18:00:00,9.3,G
71420,2012-12-09,07:00:00,-4.2,G
97510,2003-12-17,01:00:00,-2.5,Y
132590,1984-12-17,00:00:00,-7.6,G
87150,1980-08-17,15:00:00,20.3,G
188790,1989-01-06,11:00:00,-4.4,Y
192830,2007-05-02,06:00:00,0.5,G
85240,1991-10-12,11:00:00,10,Y
98040,1966-03-01,09:00:00,0.6,Y
135460,2008-07-15,20:00:00,10.2,Y
71430,1972-03-12,07:00:00,-1,Y
159970,1955-08-17,03:00:00,11.8,G
133250,2009-02-06,00:00:00,-13.4,G
78400,2011-10-24,00:00:00,3.4,G
171810,1961-04-02,18:00:00,-9,G
62410,1956-12-02,06:00:00,4,G
74460,1981-02-06,21:00:00,3.2,G
180940,1979-04-22,00:00:00,-1.3,G
88580,1981-06-17,15:00:00,13.6,G
161780,1974-11-27,00:00:00,0,G
97390,1985-04-27,21:00:00,2.2,G
180940,1967-05-05,17:00:00,2,Y
115220,2008-02-20,21:00:00,-0.9,G
144300,2001-05-19,03:00:00,5,G
85460,1996-09-22,23:00:00,7.8,Y
76420,2010-10-25,02:00:00,1.1,G
115220,2002-12-15,00:00:00,-11.2,G
75040,1960-03-03,06:00:00,0.8,Y
75520,2001-11-24,22:00:00,-5.9,Y
93520,2011-06-27,04:00:00,11.1,G
63600,1975-02-23,18:00:00,-1.6,G
62550,1979-11-12,15:00:00,4.7,G
82350,2001-01-28,09:00:00,1.2,G
85020,1991-04-29,01:00:00,0,Y
74350,1962-06-23,06:00:00,10.2,G
108170,1989-03-02,09:00:00,1,G
114510,1969-04-25,12:00:00,7.2,G
114160,1977-05-15,00:00:00,-0.4,G
149560,2009-07-05,03:00:00,8.3,G
133180,2008-01-23,10:00:00,-11.5,Y
62250,2003-01-26,01:00:00,3.5,Y
65510,1997-03-07,22:00:00,1.5,Y
63160,2012-02-08,23:00:00,-3.2,G
84050,2014-07-22,13:00:00,21.7,G
107130,1994-06-02,00:00:00,8,G
82090,1998-01-14,20:00:00,5.2,Y
65160,1984-09-18,02:00:00,9,Y
64020,1999-11-27,11:00:00,5.8,Y
85460,2016-06-07,07:00:00,15.9,G
66110,2010-09-24,01:00:00,12.5,G
160750,2002-01-15,18:00:00,-1.9,G
82380,1966-04-06,06:00:00,-1.8,G
125450,1985-05-23,12:00:00,0.6,G
163950,1984-12-19,00:00:00,-13,G
66410,1989-06-18,12:00:00,19.1,G
128510,1984-12-07,06:00:00,0.9,G
63440,1961-10-19,06:00:00,9.8,G
63440,1973-01-13,06:00:00,-0.2,G
87140,2002-12-11,13:00:00,-2.5,Y
146070,1975-01-30,18:00:00,-1.9,G
103410,2015-12-08,18:00:00,4.4,G
95030,1984-11-17,00:00:00,-1.8,G
148040,2012-05-07,02:00:00,-3.2,G
82260,1983-10-26,14:00:00,12.4,Y
107420,2007-11-20,03:00:00,-4,G
117160,2007-11-05,07:00:00,0.8,Y
107440,2015-10-24,09:00:00,7.9,G
75520,2009-08-20,02:00:00,6.4,Y
149160,1976-03-12,06:00:00,-10.3,G
98040,1985-05-20,06:00:00,10.8,G
107530,1977-08-10,18:00:00,14.1,G
82090,2000-08-31,03:00:00,6.7,G
82260,1986-12-14,07:00:00,1.1,Y
53300,1978-06-27,09:00:00,13.8,G
72400,1963-07-09,12:00:00,17,G
183760,1972-11-17,12:00:00,-3.8,G
52230,1963-11-15,12:00:00,6.2,G
74490,2008-01-10,18:00:00,3.7,G
172790,1967-11-19,03:00:00,-10.8,Y
98230,2014-01-25,19:00:00,-4,G
162980,2009-04-27,06:00:00,1.3,G
157870,2000-03-11,11:00:00,-5.5,Y
117160,1969-11-16,17:00:00,4.9,Y
182910,2012-12-30,20:00:00,-1.2,G
63510,1998-06-14,16:00:00,15.2,Y
93520,1999-05-26,05:00:00,8,Y
117430,2003-01-13,08:00:00,-1.2,Y
106580,1984-01-25,12:00:00,-10.8,G
84580,1982-03-27,12:00:00,11.4,G
127130,1995-09-30,20:00:00,6.3,Y
85240,1978-05-08,02:00:00,1.7,Y
139260,1995-09-08,07:00:00,9.4,Y
97390,1994-03-30,03:00:00,2.9,G
53650,1970-03-07,18:00:00,-1.8,G
127310,1984-01-07,16:00:00,-8,Y
97510,2001-11-22,02:00:00,6.3,Y
63050,1966-10-13,06:00:00,0.1,G
144310,2009-06-26,19:00:00,24.1,Y
180940,1969-08-29,13:00:00,12,Y
98490,2007-05-31,15:00:00,10.2,G
183750,2013-08-21,18:00:00,12,G
107420,2008-09-02,03:00:00,12.1,G
76380,1972-01-17,12:00:00,-4.2,G
83040,2006-10-16,04:00:00,8.9,Y
89230,1999-04-28,06:00:00,8.9,G
92410,2004-02-01,04:00:00,-3.5,Y
181900,2014-01-20,06:00:00,-39.2,G
189720,1999-06-28,14:00:00,20.8,Y
135520,1984-01-05,09:00:00,-7.4,G
86330,1968-11-20,06:00:00,3.2,G
96030,1963-10-19,18:00:00,5,G
62180,1980-12-12,14:00:00,4.6,Y
102390,2006-10-05,04:00:00,8.1,Y
52230,1953-10-16,12:00:00,11.2,Y
77210,2012-12-05,05:00:00,1.3,G
114160,1983-09-06,06:00:00,8.3,G
71380,1984-01-18,21:00:00,0.3,G
85520,1978-03-07,03:00:00,1.1,G
98040,2014-10-06,17:00:00,9.4,G
55570,2008-08-20,07:00:00,16.4,Y
127130,2011-01-22,12:00:00,0.3,G
133260,1996-07-21,17:00:00,12.1,Y
83040,2014-06-24,01:31:00,6.1,Y
92410,2012-07-14,03:00:00,12.5,G
73430,1976-05-10,15:00:00,22.8,G
66110,2016-03-09,13:00:00,4.8,G
112080,1981-05-02,03:00:00,-4.9,G
86340,1998-05-15,07:00:00,13.2,Y
78250,1992-01-04,15:00:00,4.7,G
123460,2004-09-13,22:00:00,6.2,Y
92410,2000-08-01,09:00:00,18.1,G
151290,1963-05-24,12:00:00,8.6,G
188850,2010-06-18,01:00:00,4.1,Y
132030,1993-11-29,15:00:00,-4.3,G
86370,1987-12-28,21:00:00,-4,G
98040,1965-05-02,05:00:00,2.2,Y
84060,1975-12-24,12:00:00,4,G
138270,1978-12-15,09:00:00,-24.8,G
54230,1981-01-02,09:00:00,2,G
163950,2003-08-16,12:00:00,19.5,G
82260,1985-04-16,03:00:00,0.1,G
180940,2012-09-26,00:00:00,2.1,G
55570,2011-07-18,01:00:00,16.5,G
179960,2007-05-16,09:00:00,6.2,G
86480,1962-11-20,18:00:00,-0.4,G
140480,1967-03-26,15:00:00,1,Y
106160,2010-09-03,03:00:00,6,G
127310,1968-08-24,12:00:00,21.7,Y
151280,2000-02-12,22:00:00,1.3,Y
135460,2001-04-17,04:00:00,-5.8,Y
74180,2008-06-07,02:00:00,3.9,Y
96230,1981-03-01,12:00:00,-0.8,G
82360,2002-09-17,14:00:00,17.2,Y
97260,1968-10-14,19:00:00,9.2,Y
149340,2001-04-29,02:00:00,-1.3,Y
52230,1964-12-07,15:00:00,7,Y
73390,2010-02-19,18:00:00,-6.2,G
66040,1987-06-13,03:00:00,9.8,G
97530,2005-12-08,16:00:00,-0.3,Y
167710,1971-02-26,12:00:00,-13.2,G
180940,1990-07-27,03:00:00,10.8,G
188850,2013-07-23,05:00:00,8.9,G
138240,1978-08-02,12:00:00,23.2,G
52350,1994-07-26,05:00:00,20.3,Y
140480,2013-01-02,01:00:00,0.4,G
138070,2007-01-05,07:00:00,0.2,Y
98180,1993-08-05,06:00:00,15.2,G
81370,2011-06-16,10:00:00,19.2,G
191900,1994-07-01,06:00:00,8,G
84340,2011-07-03,20:00:00,17.4,G
82350,2003-07-13,19:00:00,22.1,Y
149340,2004-09-05,16:00:00,15.9,Y
65160,1993-03-11,22:00:00,-1.2,Y
94580,1999-09-26,03:00:00,8.4,G
71420,2011-06-30,12:00:00,22.6,G
162860,1988-09-25,09:00:00,9.9,G
63050,1987-10-09,17:00:00,9.8,Y
188840,1987-03-13,11:00:00,-10.6,Y
160970,2003-11-19,03:00:00,-13.9,G
85460,1998-09-24,18:00:00,10.7,G
78140,1994-12-07,06:00:00,4.1,G
83620,1956-12-06,12:00:00,0.8,Y
159970,1959-02-17,12:00:00,-2,Y
97280,2010-07-02,19:00:00,21,Y
163950,1959-04-05,18:00:00,1.2,Y
73480,2014-05-25,08:00:00,16.6,G
108320,2012-07-01,12:00:00,22,G
117430,1996-03-12,12:00:00,-1.2,G
154860,1992-06-12,04:00:00,7.9,Y
105310,1976-06-28,18:00:00,19.1,G
81060,1954-03-25,12:00:00,-0.6,Y
106570,1999-12-10,08:00:00,-1.5,Y
82260,1990-03-16,05:00:00,7.2,Y
148330,2003-11-30,07:00:00,1,Y
85460,2002-12-11,16:00:00,-3,Y
97110,1983-03-11,03:00:00,-3.3,G
81220,1974-12-15,21:00:00,5,G
107400,1993-09-24,04:00:00,8.5,Y
147460,1985-11-07,18:00:00,-0.6,G
155960,2008-05-12,21:00:00,-4.1,G
76420,1996-03-10,12:00:00,-0.8,G
138240,1985-08-01,04:00:00,13.2,Y
138270,1985-05-10,15:00:00,8.1,G
64020,2009-12-08,05:00:00,5.6,Y
127230,2002-05-24,14:00:00,7.5,Y
146050,2015-08-07,16:00:00,20.8,G
163900,2012-08-15,16:00:00,18.7,G
87140,2003-02-18,03:00:00,-5.4,G
155960,1992-07-03,11:00:00,5.6,Y
160750,1999-11-29,03:00:00,0.4,G
68550,1984-04-27,15:00:00,6.4,G
169880,1969-01-28,18:00:00,-18,G
82260,2010-08-30,08:00:00,11.9,G
137110,1969-12-15,18:00:00,-4.4,G
148330,2011-07-21,21:00:00,17,G
82090,2004-03-26,22:00:00,0,Y
53360,1983-02-08,18:00:00,-3,G
92400,1978-06-14,03:00:00,10,G
54230,1970-04-06,18:00:00,0.6,G
170930,2007-08-30,23:00:00,2,Y
84310,2003-03-04,06:00:00,-3.6,G
172790,1994-06-04,21:00:00,16.2,G
147100,2015-05-07,12:00:00,14.4,G
63050,1965-06-05,13:00:00,20.2,Y
148040,2000-10-06,07:00:00,10.2,Y
77220,2016-01-31,18:00:00,3.5,G
86420,2015-09-04,13:00:00,15.3,G
180940,1971-07-12,08:00:00,13,Y
62410,1973-01-17,09:00:00,-0.1,G
128370,1977-08-10,21:00:00,15.2,G
192830,1974-05-12,03:00:00,-1,G
97280,2015-10-10,00:00:00,-1.9,G
138390,2006-01-28,18:00:00,2,G
140360,1999-09-04,21:00:00,14.3,G
147090,2012-09-27,08:00:00,5.2,G
75240,2008-02-16,06:00:00,-10.4,G
93520,1997-10-11,18:00:00,7,G
62040,2002-06-25,03:00:00,13.9,G
147090,2008-04-15,10:00:00,2.8,Y
140480,1974-04-23,02:00:00,1,Y
158740,1995-12-22,08:00:00,-18.2,Y
191910,1996-11-28,05:00:00,-27.2,Y
126290,1998-03-21,17:00:00,0.8,Y
97200,1980-05-11,20:00:00,5.4,Y
76420,1996-11-25,22:00:00,-0.1,Y
103100,2006-03-08,01:00:00,-22.5,Y
85040,1974-12-13,18:00:00,-10,G
82260,1990-07-16,05:00:00,15.9,Y
105370,1955-02-06,18:00:00,0.2,Y
148040,2003-08-05,15:00:00,19.8,G
93220,1974-03-31,21:00:00,1.1,G
146050,2009-04-06,17:00:00,-0.2,Y
105070,1999-03-27,06:00:00,4.4,G
64020,1997-09-01,13:00:00,24.1,Y
145130,2000-03-21,05:00:00,-2.8,Y
