 time       temp
 0.293151   8.80754777
 0.295890  10.38682903
 0.298630  12.19738674
 0.301370  17.65119830
 0.304110  11.22902652
 0.306849  10.14568216
 0.309589   6.93685865
 0.312329   8.23051902
 0.315068   7.88890360
 0.317808   7.40057668
 0.320548   6.94033810
 0.323288   6.09214700
 0.326027   6.74594783
 0.328767   6.21293560
 0.331507   8.31712330
 0.334247   8.30546269
 0.336986   5.60472128
 0.339726   8.30945390
 0.342466  12.76363100
 0.345205  13.21152505
 0.347945  15.88439329
 0.350685  17.32228042
 0.353425  15.42327168
 0.356164  15.30604596
 0.358904  16.37227543
 0.361644  15.30075203
 0.364384  17.31231646
 0.367123  16.72625158
 0.369863  16.79417639
 0.372603  19.07396861
 0.375342  14.49467996
 0.378082  13.82417376
 0.380822  14.68375178
 0.383562  15.80725342
 0.386301  17.07169217
 0.389041  16.31890126
 0.391781  16.84312792
 0.394521  16.87596617
 0.397260  16.24093191
 0.400000  17.44704674
 0.402740  16.88162221
 0.405479  16.78975839
 0.408219  20.83335447
 0.410959  19.80648476
 0.413699  16.78136942
 0.416438  18.06372112
 0.419178  21.22030129
 0.421918  22.56661170
 0.424658  20.11947370
 0.427397  12.48900233
 0.430137  14.60229477
 0.432877  18.45128062
 0.435616  18.66348669
 0.438356  20.06270957
 0.441096  22.10365573
 0.443836  14.98371150
 0.446575  15.41992238
 0.449315  17.23301997
 0.452055  16.40407121
 0.454795  16.78661380
 0.457534  16.49748484
 0.460274  14.14560969
 0.463014  15.06263102
 0.465753  15.33028226
 0.468493  11.87560975
 0.471233  12.35344652
 0.473973  12.02466637
 0.476712  13.99342595
 0.479452  14.75013195
 0.482192  16.04370187
 0.484932  18.84389420
 0.487671  21.39694037
 0.490411  22.41826174
 0.493151  15.40411733
 0.495890  13.71003693
 0.498630  15.83159259
 0.501370  16.92087481
 0.504110  18.49644357
 0.506849  20.51936022
 0.509589  18.68891205
 0.512329  21.42166014
 0.515068  16.99236865
 0.517808  18.94782689
 0.520548  17.87535399
 0.523288  19.09052265
 0.526027  19.45015704
 0.528767  19.69309176
 0.531507  20.84401832
 0.534247  21.58209923
 0.536986  23.22780669
 0.539726  24.00035441
 0.542466  23.85356432
 0.545205  21.84021704
 0.547945  21.59895996
 0.550685  24.47860517
 0.553425  21.91040649
 0.556164  19.28412747
 0.558904  20.95909703
 0.561644  22.53863003
 0.564384  24.84937655
 0.567123  24.88899858
 0.569863  25.41939137
 0.572603  23.62965373
 0.575342  22.86048594
 0.578082  22.61382262
 0.580822  25.01764371
 0.583562  25.47873794
 0.586301  22.04196808
 0.589041  21.40794642
 0.591781  22.69614847
 0.594521  20.10861839
 0.597260  18.11346702
 0.600000  20.15266344
 0.602740  24.45764214
 0.605479  22.16301326
 0.608219  22.08169291
 0.610959  18.05492407
 0.613699  15.18709418
 0.616438  15.70987135
 0.619178  13.87987497
 0.621918  16.34770177
 0.624658  19.41199092
 0.627397  19.36312525
 0.630137  16.30050371
 0.632877  18.97764698
 0.635616  15.67984020
 0.638356  15.11976941
 0.641096  16.12653615
 0.643836  20.47110566
 0.646575  15.34979193
 0.649315  13.61273731
 0.652055  13.19699120
 0.654795  12.45795217
 0.657534  14.07593176
 0.660274  14.74318901
 0.663014  15.66140064
 0.665753  14.60633033
 0.668493  13.58134819
 0.671233  15.09797420
 0.673973  16.67618091
 0.676712  14.80371256
 0.679452  15.49087965
 0.682192  16.18841528
 0.684932  15.61352999
 0.687671  15.21639856
 0.690411  15.05656182
 0.693151  14.48634138
 0.695890  13.42024832
 0.698630  14.49505439
 0.701370  12.78491744
 0.704110  13.58209975
 0.706849  12.82787706
 0.709589  11.19738005
 0.712329  13.17524900
 0.715068  17.21444134
 0.717808  17.70506477
 0.720548  15.45277722
 0.723288  16.50429934
 0.726027  12.33823949
 0.728767  11.21129053
 0.731507   7.63342452
 0.734247   7.05093630
 0.736986  12.60981007
 0.739726  11.84880361
 0.742466   7.56420650
 0.745205   7.00206398
 0.747945  10.38795471
 0.750685   6.43986283
 0.753425   5.75402152
 0.756164   6.46002139
 0.758904   6.53320135
 0.761644  11.84977559
 0.764384   9.35578338
 0.767123   6.45813749
 0.769863   8.12456245
 0.772603  13.49744798
 0.775342  12.72631328
 0.778082   9.29637419
 0.780822  12.27987226
 0.783562  15.47951932
 0.786301  14.26880973
 0.789041  14.93712308
 0.791781  11.54467481
 0.794521  14.76323269
 0.797260  10.00499194
 0.800000   4.83959051
 0.802740   6.71013156
 0.805479   9.01956600
 0.808219  10.28044137
 0.810959   7.37085044
 0.813699   4.34172592
 0.816438   3.29534866
 0.819178   0.77299179
 0.821918   2.51245729
 0.824658   0.55067891
 0.827397   1.36115552
 0.830137   6.34323065
 0.832877   7.08624336
 0.835616   6.81062023
 0.838356   9.64478959
 0.841096   5.99709475
 0.843836   4.13099022
 0.846575   7.83083752
 0.849315   9.21458701
 0.852055   8.08388800
 0.854795   7.54978738
 0.857534   5.79083480
 0.860274   7.21174665
 0.863014   8.21977677
 0.865753   8.99346195
 0.868493   7.07636433
 0.871233   6.48317569
 0.873973   9.13391785
 0.876712   6.04739565
 0.879452   4.64481514
 0.882192   4.20485431
 0.884932   1.24731286
 0.887671   1.20541015
 0.890411   0.49414381
 0.893151   0.46007276
 0.895890  -1.80541098
 0.898630  -2.43771964
 0.901370  -3.31554119
 0.904110  -5.65885495
 0.906849  -7.44952068
 0.909589  -8.05671702
 0.912329   0.30999778
 0.915068   3.09710886
 0.917808   2.69289399
 0.920548   2.70308859
 0.923288   4.77218127
 0.926027   3.19130949
 0.928767  -0.02541030
 0.931507   0.25735837
 0.934247   1.91209374
 0.936986   5.47120269
 0.939726   4.35222741
 0.942466   0.77380837
 0.945205   2.01980905
 0.947945  -0.71781868
 0.950685  -0.93273620
 0.953425  -1.89422503
 0.956164  -2.17870479
 0.958904  -0.36075312
 0.961644  -1.13832841
 0.964384  -3.27897424
 0.967123   0.56556036
 0.969863   0.33331864
 0.972603  -2.28410379
 0.975342  -2.91224853
 0.978082  -5.39428504
 0.980822  -4.72901808
 0.983562   1.29625090
 0.986301   3.26902907
 0.989041   3.27655037
 0.991781   1.10479664
 0.994521   0.97438325
 0.997260   0.01233662
 1.000000   0.40462972
